feature,importance
num__resp_port,2102
num__id.orig_p,1440
num__orig_ip_bytes,1163
num__unique_dst_ips_last_30s,434
num__avg_duration_last_30s,383
num__unique_dst_ports_last_30s,275
num__local_resp,272
cat__proto_tcp,220
cat__conn_state_S0,179
num__flows_last_30s,153
cat__history_S,141
num__pkts_per_sec,137
num__pkts_sent_last_30s,132
num__duration,126
num__resp_ip_bytes,105
num__resp_pkts,86
num__local_orig,62
cat__conn_state_OTH,54
num__pkts_total,46
num__bytes_per_sec,44
num__pkts_ratio,41
num__bytes_ratio,40
cat__conn_state_SF,34
num__pkts_recv_last_30s,30
num__orig_bytes,24
num__avg_total_bytes_per_flow_last_30s,21
num__bytes_sent_last_30s,20
num__orig_pkts,17
cat__conn_state_RSTO,10
cat__proto_udp,10
cat__proto_icmp,8
num__orig_share_bytes,7
num__flow_rate_last_30s,4
cat__history_ShADdaR,3
cat__service_unknown,3
cat__history_Shr,2
cat__conn_state_RSTR,2
num__bytes_recv_last_30s,2
num__orig_share_pkts,2
cat__history_R,1
cat__history_F,1
cat__history_H,1
cat__history_D,1
cat__history_ShADdr,1
num__resp_to_orig,1
num__resp_bytes,1
num__missed_bytes,0
num__unique_services_last_30s,0
num__is_zero_resp_bytes,0
num__bytes_total,0
num__is_short_flow,0
num__ip_proto,0
cat__conn_state_S2,0
cat__conn_state_SHR,0
cat__history_AF,0
cat__history_AFadR,0
cat__history_AFa,0
cat__history_AFr,0
cat__history_AFha,0
cat__history_DFafA,0
cat__history_DFfA,0
cat__history_DFfAa,0
cat__history_AR,0
cat__history_DadFfA,0
cat__history_Dr,0
cat__history_FA,0
cat__history_FDTA,0
cat__history_AFR,0
cat__conn_state_SH,0
cat__conn_state_RSTOS0,0
cat__conn_state_RSTRH,0
cat__history_FT,0
cat__history_FRa,0
cat__history_FRR,0
cat__history_Fa,0
cat__history_FafAr,0
cat__history_Fadf,0
cat__history_FadfR,0
cat__history_FafA,0
cat__history_FdfR,0
cat__history_FafRt,0
cat__history_FafR,0
cat__history_HR,0
cat__history_HRr,0
cat__history_HRa,0
cat__history_Hr,0
cat__history_RR,0
cat__history_SA,0
cat__history_SAD,0
cat__history_SADT,0
cat__history_SDA,0
cat__history_SDT,0
cat__history_SR,0
cat__history_SRhr,0
cat__history_Sa,0
cat__history_SaR,0
cat__history_Sah,0
cat__history_SahR,0
cat__history_Sh,0
cat__history_FR,0
cat__history_AFRR,0
cat__conn_state_S1,0
cat__conn_state_REJ,0
cat__history_ShADadTR,0
cat__history_ShADadR,0
cat__history_ShADadFr,0
cat__history_ShADaGdgFf,0
cat__history_ShADdTaR,0
cat__history_ShADdTatFr,0
cat__history_ShADadtR,0
cat__history_ShADdFar,0
cat__history_ShADdTatr,0
cat__history_ShADdTatR,0
cat__history_ShADdaTR,0
cat__history_ShADdaFr,0
cat__history_ShADdaTtR,0
cat__history_ShADdar,0
cat__history_ShADdFarR,0
cat__history_ShADdR,0
cat__history_ShADdtTaR,0
cat__history_ShADdtaR,0
cat__history_ShADdtr,0
cat__history_ShADfFa,0
cat__history_ShAFaf,0
cat__history_ShAFafR,0
cat__history_ShAFar,0
cat__history_ShAFarR,0
cat__history_ShAR,0
cat__history_ShAfr,0
cat__history_ShDAadFr,0
cat__history_ShDAadr,0
cat__history_ShDdAaFr,0
cat__history_ShDdAaR,0
cat__history_ShADdatR,0
cat__history_ShADdtRaR,0
cat__history_ShDdR,0
cat__history_ShDdAar,0
cat__history_ShFarA,0
cat__history_ShDdaR,0
cat__history_ShG,0
cat__history_ShGR,0
cat__history_ShR,0
cat__history_ShFAar,0
cat__history_ShrADT,0
cat__history_ShrADTF,0
cat__history_ShrADad,0
cat__history_ShrR,0
cat__history_Shrhr,0
cat__history_Shrr,0
cat__history_Sr,0
cat__history_ShrA,0
cat__history_Srhr,0
cat__history_^adfAF,0
cat__history_^ar,0
cat__history_^af,0
cat__history_^fA,0
cat__history_^fAFa,0
cat__history_^hR,0
cat__history_^f,0
cat__history_^haf,0
cat__history_^hrA,0
cat__service_dns,0
cat__history_^r,0
"cat__service_gssapi,smb",0
cat__service_ntp,0
cat__service_smb,0
cat__service_ssl,0
