feature,importance
num__local_resp,6.2556450460620106
num__ip_proto,1.0546255105446365
num__pkts_ratio,0.7362189092562339
num__unique_services_last_30s,0.634933923680598
num__resp_to_orig,0.46827025737426287
num__avg_duration_last_30s,0.4483378655864043
cat__history_ShAFar,0.42463255813720224
num__duration,0.40066118048190896
num__unique_dst_ips_last_30s,0.3874860073402553
num__resp_pkts,0.376624968941259
num__is_zero_resp_bytes,0.3415945930594255
cat__conn_state_RSTO,0.33368824066360425
cat__history_ShADdaR,0.32595989248786755
cat__service_ssl,0.2945922637364524
num__local_orig,0.2861736174110813
cat__conn_state_RSTR,0.2633988428646669
num__flows_last_30s,0.26217050957180865
num__flow_rate_last_30s,0.2621705095718084
num__pkts_sent_last_30s,0.26113563071625967
num__avg_total_bytes_per_flow_last_30s,0.260431956996619
num__unique_dst_ports_last_30s,0.24340964994946512
cat__history_D,0.2404260675731567
cat__proto_udp,0.2404260675731567
num__orig_share_bytes,0.2205991796081542
num__pkts_per_sec,0.211789465392704
num__pkts_total,0.17673315068688675
num__is_short_flow,0.16144676207282824
cat__history_Shr,0.14355993862489103
num__orig_share_pkts,0.13881293738736428
num__bytes_recv_last_30s,0.1270784844966014
cat__proto_tcp,0.09812423377554733
cat__service_dns,0.09687349046327556
cat__history_S,0.08700067541388812
cat__proto_icmp,0.08625747220940379
cat__conn_state_S0,0.06243080472710212
cat__conn_state_SF,0.058738925606322004
cat__conn_state_OTH,0.0541705833788255
num__pkts_recv_last_30s,0.05343101040159717
cat__history_R,0.04713073913524679
cat__history_ShrADT,0.04711372841853288
cat__conn_state_REJ,0.04366672058659063
cat__conn_state_SH,0.041942607284618884
cat__history_SADT,0.04164965264643353
num__bytes_sent_last_30s,0.039517975885441106
cat__history_ShR,0.036909997878779285
cat__history_SDT,0.0285036680645448
cat__service_smb,0.026392453664395597
cat__history_ShADdFar,0.02484148062248248
cat__history_Sr,0.022738570248497406
cat__history_ShrR,0.02230550064329869
"cat__service_gssapi,smb",0.021963751690742262
cat__history_ShrADad,0.021152215951078576
cat__history_ShADdr,0.02099950707990621
cat__service_unknown,0.020450502099524353
num__orig_ip_bytes,0.02043133858970662
num__bytes_ratio,0.01978735481920853
num__orig_bytes,0.01936485242009398
num__bytes_total,0.019323434141323582
num__resp_ip_bytes,0.019025693854904144
cat__history_ShADaGdgFf,0.01845203343706162
num__resp_bytes,0.017249774287564103
cat__history_F,0.016133721427807966
cat__conn_state_SHR,0.014849209615582523
cat__conn_state_RSTRH,0.014264449271923817
cat__history_H,0.014189576227420194
cat__history_SAD,0.012796226049817287
cat__history_DFafA,0.012204369472063811
cat__history_HR,0.010776990891026255
num__resp_port,0.009888604476712396
num__missed_bytes,0.0097818239742153
num__bytes_per_sec,0.009680813706312082
cat__history_^fA,0.008909830188265072
cat__history_AF,0.008438191373325198
cat__history_ShFAar,0.007604904650917627
cat__history_^r,0.006409335712779614
cat__history_FadfR,0.006236867529649655
cat__history_FT,0.005677999257732217
cat__history_Sa,0.005526768973752164
num__id.orig_p,0.0055186503101174265
cat__service_ntp,0.005436316102752561
cat__history_AFR,0.005192214846159651
cat__history_DadFfA,0.005084523621504303
cat__history_FdfR,0.005044434403448654
cat__history_^adfAF,0.004699930692499695
cat__history_ShAFaf,0.004588537275306795
