feature,importance
num__local_resp,0.20878447225143779
num__pkts_total,0.061306217000873124
num__orig_ip_bytes,0.05639597585003151
num__resp_pkts,0.04640926510659503
num__resp_bytes,0.04400873532875417
num__orig_pkts,0.04347851952225195
num__avg_duration_last_30s,0.03514184432210469
cat__service_unknown,0.034400012866150124
num__resp_ip_bytes,0.03348989846374755
num__pkts_per_sec,0.030407661541180356
num__resp_to_orig,0.028101714463135325
num__is_zero_resp_bytes,0.027977037468054317
num__bytes_recv_last_30s,0.02755519512249691
num__duration,0.02589377971822163
num__bytes_per_sec,0.025693749021826463
num__bytes_total,0.022309327335218572
cat__service_ssl,0.022231372919551858
num__orig_share_bytes,0.021992157483023588
num__unique_dst_ips_last_30s,0.021517725494947033
num__bytes_ratio,0.02046917235961182
num__orig_bytes,0.015400553311209403
num__is_short_flow,0.014609271661402
cat__conn_state_RSTO,0.014323800823712131
num__flow_rate_last_30s,0.012051206420617735
num__flows_last_30s,0.011315676838001039
cat__history_ShADdaR,0.011276591262525375
num__avg_total_bytes_per_flow_last_30s,0.008251367718129902
num__resp_port,0.007742543189315098
num__pkts_recv_last_30s,0.007334216176253421
cat__conn_state_S0,0.0066836399908913515
num__pkts_sent_last_30s,0.006209551607939603
num__bytes_sent_last_30s,0.005786405640808657
cat__proto_tcp,0.005259422660699728
num__pkts_ratio,0.0050776015039563725
num__id.orig_p,0.0049640409735499085
num__ip_proto,0.003701740135144619
cat__history_D,0.00317962068364999
cat__proto_udp,0.0029550428502204866
num__orig_share_pkts,0.0028979002445749997
cat__history_S,0.0024896050071470154
cat__history_ShAFar,0.002293306182452998
num__local_orig,0.0013680038232175883
cat__conn_state_RSTR,0.0013523289886600927
cat__proto_icmp,0.0005975091122738035
num__unique_dst_ports_last_30s,0.0005968312937176569
cat__history_ShR,0.0005819418312844794
cat__conn_state_OTH,0.0005611070237975482
cat__history_Shr,0.00047156364638102063
cat__service_dns,0.0004486113311880598
num__unique_services_last_30s,0.00044025002951076703
cat__history_R,0.0003626124021328167
cat__conn_state_SF,0.0002472872660837269
cat__history_ShrADT,0.00021866872968982965
cat__conn_state_SH,0.00020632205063263436
cat__history_F,0.00016335072079174735
cat__history_SADT,0.00014303729787895096
cat__conn_state_REJ,9.130116131910418e-05
num__missed_bytes,7.810681312412348e-05
"cat__service_gssapi,smb",7.663409383772349e-05
cat__conn_state_S1,7.031262786907978e-05
cat__history_ShADdFar,5.7959054851400865e-05
cat__history_H,5.669174195295006e-05
cat__history_SAD,5.654627295857642e-05
cat__history_ShADdr,5.049144326553849e-05
cat__service_smb,4.4769814084590474e-05
cat__history_Sa,2.9191124097492775e-05
cat__history_ShrR,2.8266893302377358e-05
cat__history_AF,2.159819489691832e-05
cat__conn_state_RSTRH,2.0751796630446446e-05
cat__service_ntp,2.01565994416174e-05
cat__history_HR,1.8571577469568524e-05
cat__history_^f,1.8402358120578755e-05
cat__history_DFafA,1.6788683730329735e-05
cat__conn_state_SHR,1.3362534812214686e-05
cat__history_SDT,1.2439086579075896e-05
cat__history_Sr,1.0043533610309417e-05
cat__history_ShAFaf,9.991428795376869e-06
cat__history_^r,8.696640467941566e-06
cat__history_Sah,7.354215789815522e-06
cat__history_ShADdR,7.239845991896061e-06
cat__history_FadfR,7.181476751315738e-06
cat__history_ShFAar,6.966124216503725e-06
cat__history_ShFarA,5.222597780966195e-06
cat__history_FT,3.82494347043906e-06
cat__history_AFa,3.5981716801583667e-06
cat__history_ShrA,3.5609556443188413e-06
cat__history_ShAFarR,3.4869655838165783e-06
cat__history_ShADfFa,3.204712071675874e-06
cat__history_ShADdaTR,2.784262282060191e-06
cat__history_^fA,2.3265696365602385e-06
cat__history_Sh,2.0003706606732944e-06
cat__history_Fa,1.1918298446867248e-06
cat__history_Shrhr,8.302252146996912e-07
cat__history_AFR,7.836502985177197e-07
cat__history_^adfAF,3.270084044992676e-07
cat__history_ShGR,2.187226491252097e-07
cat__history_RR,2.1111228336414938e-07
cat__history_FR,1.0144354392271459e-07
cat__conn_state_RSTOS0,7.122044919478329e-08
cat__history_ShG,4.343313405391033e-08
cat__history_FA,2.474606439285153e-08
cat__history_ShADdatR,5.224110285075633e-09
cat__history_ShADdtaR,1.5051093712380653e-09
cat__history_ShDdaR,5.970829762763754e-10
cat__history_ShADdTatR,1.8256817881483783e-10
cat__history_ShADdTatr,1.682396860397383e-10
cat__history_SahR,8.78252494625936e-11
cat__history_ShDAadFr,8.332040550078772e-11
cat__history_ShDdAaR,4.422960025805192e-12
cat__history_ShADdtTaR,5.362290684956471e-16
cat__history_ShADdaTtR,1.3790043322015085e-17
cat__history_ShADdTatFr,1.3252633253755244e-17
cat__history_ShADadR,1.4777135346696683e-18
cat__history_SaR,1.0668270720307605e-18
cat__history_^hrA,6.852618801205618e-20
cat__history_FafA,0.0
cat__history_FafRt,0.0
cat__history_FafR,0.0
cat__history_FafAr,0.0
cat__history_DadFfA,0.0
cat__history_DFfAa,0.0
cat__history_DFfA,0.0
cat__conn_state_S2,0.0
cat__history_AFadR,0.0
cat__history_AFRR,0.0
cat__history_AFr,0.0
cat__history_AFha,0.0
cat__history_FDTA,0.0
cat__history_Dr,0.0
cat__history_FRR,0.0
cat__history_AR,0.0
cat__history_FRa,0.0
cat__history_HRa,0.0
cat__history_HRr,0.0
cat__history_Hr,0.0
cat__history_ShADadTR,0.0
cat__history_ShADadFr,0.0
cat__history_ShADaGdgFf,0.0
cat__history_SRhr,0.0
cat__history_SDA,0.0
cat__history_SA,0.0
cat__history_SR,0.0
cat__history_Fadf,0.0
cat__history_FdfR,0.0
cat__history_ShADdaFr,0.0
cat__history_ShADdTaR,0.0
cat__history_ShADdFarR,0.0
cat__history_ShADdar,0.0
cat__history_ShADdtRaR,0.0
cat__history_ShADadtR,0.0
cat__history_ShAFafR,0.0
cat__history_ShDdR,0.0
cat__history_ShDdAar,0.0
cat__history_ShDdAaFr,0.0
cat__history_ShDAadr,0.0
cat__history_ShAR,0.0
cat__history_ShAfr,0.0
cat__history_ShADdtr,0.0
cat__history_ShrADad,0.0
cat__history_Srhr,0.0
cat__history_Shrr,0.0
cat__history_ShrADTF,0.0
cat__history_^haf,0.0
cat__history_^af,0.0
cat__history_^hR,0.0
cat__history_^fAFa,0.0
cat__history_^ar,0.0
